 ,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,1154,65,694,496,1,128,1,1,25,78,4,135,925,11514,1,447,263,106,16,52,9342,9293,7999,1,370,38
b,158,145,40,17,1,80,1,1,4,51,1,39,69,5553,1,17,3,25,19,6,819,922,590,1,5,3
c,1318,290,112,1532,1,98,1,9,129,228,1,228,643,8203,1,1410,9,1133,139,305,21,7993,1605,1,1,30
d,6529,58,91,4140,1,46,1,1,435,17,1,289,798,403,4,3528,15,296,8,85,309,30312,510,1,8,53
e,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1,1
f,342,44,133,1212,1,74,1,1,78,31,1,80,677,1376,2,419,35,204,20,16,1928,4409,5993,1,20,21
g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h,2,2,1,1,1,1,1,1,1,5,1,1,2,30,1,1,1,1,1,1,1,6,1,1,1,1
i,16,2,43,73,1,44,1,1,17,2,2,8,15,92,1,61,3,8,2,4,1320,318,2894,1,31,3
j,134,122,160,230,1,218,1,1,10,990,4,26,398,2526,1,187,6,79,39,53,425,1596,1124,1,1,1
k,38,6,15,150,1,1,1,1,21,1,1,10,5,44,1,95,1,14,10,12,82,306,114,1,2,2
l,93,4,152,178,1,95,1,1,10,11,1,26,53,587,1,99,1,44,8,11,1038,734,2669,1,23,1
m,1537,139,115,333,1,235,1,1,64,71,4,66,2583,7367,1,223,21879,50,25,83,532,2417,3050,1,11,30
n,6617,1665,9601,14364,1,8500,1,3,951,766,849,1008,5497,60253,15,8507,95,1950,680,3734,24953,56538,74418,1,357,322
o,2,1,1,2,1,1,1,1,1,1,1,1,4,7,2,1,1,1,1,1,18,15,18,1,1,1
p,1552,551,9,674,1,404,1,2,146,970,1,299,2076,18125,3,460,24,4178,755,2789,28,6147,678,1,1,51
q,1405,387,126,605,1,1205,1,2,104,261,1,139,702,8315,1,349,19,133,60,117,1197,2982,5878,1,47,62
r,1215,177,314,3156,1,178,1,3,228,128,1,196,1949,7964,3,1662,1022,523,132,247,2405,8943,1737,1,60,66
s,87,29,32,213,1,21,1,1,21,12,1,23,158,1065,4,35,4,33,18,6,444,884,625,1,6,14
t,308,31,108,1033,1,956,1,1,28,98,1,50,480,3641,1,1443,8,306,39,4759,1118,3115,3500,1,11,12
u,6243,1416,66,1375,1,223,1,5,407,602,1,484,5577,35745,8,633,117,1602,331,662,206,14561,4282,1,34,222
v,9131,1877,4241,6184,1,3552,1,13,945,1816,14,1145,11230,58443,7,7005,519,7234,840,1992,26617,42150,41776,1,842,181
w,5111,1488,8996,11492,17,1014,1,9,1274,1919,48,1454,5980,45247,17,11333,165,12243,564,4797,1622,32881,9935,1,42,240
x,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
y,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,5,1834,1,16,1
z,50,2,18,19,1,5,1,1,7,1,1,3,46,311,1,16,1,1,4,4,402,212,267,1,3,9
